afo-soul-engine  | INFO:     162.159.134.234:40713 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:43089 - "GET /api/skills HTTP/1.1" 307 Temporary Redirect
afo-soul-engine  | INFO:     162.159.134.234:25193 - "GET /api/skills HTTP/1.1" 307 Temporary Redirect
afo-soul-engine  | INFO:     162.159.134.234:25193 - "GET /api/skills/ HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:37,916 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:39,534 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1644.34ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:24695 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:47928 - "GET /api/5pillars/current HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:46,188 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:47,804 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1641.48ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:23527 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
